,open_time,close_time,volume,low_price,high_price,open_price,close_price,ticker,exchange
0,2021-06-19 00:00:00,2021-06-19 00:01:00,0.0,34109.2,34109.2,34109.2,34109.2,YFI-USDT,huobi
1,2021-06-19 00:01:00,2021-06-19 00:02:00,3.525,33956.7,34120.3,34120.3,33966.0,YFI-USDT,huobi
2,2021-06-19 00:02:00,2021-06-19 00:03:00,1.15,33956.5,34102.6,33958.5,34035.2,YFI-USDT,huobi
3,2021-06-19 00:03:00,2021-06-19 00:04:00,0.1586,34019.4,34048.7,34044.5,34025.5,YFI-USDT,huobi
4,2021-06-19 00:04:00,2021-06-19 00:05:00,0.1252,34032.6,34096.7,34039.0,34068.3,YFI-USDT,huobi
5,2021-06-19 00:05:00,2021-06-19 00:06:00,0.2214,34038.0,34094.0,34071.3,34045.3,YFI-USDT,huobi
6,2021-06-19 00:06:00,2021-06-19 00:07:00,0.4842,34045.3,34137.1,34045.3,34137.1,YFI-USDT,huobi
7,2021-06-19 00:07:00,2021-06-19 00:08:00,1.3718,34148.0,34213.9,34148.0,34172.3,YFI-USDT,huobi
8,2021-06-19 00:08:00,2021-06-19 00:09:00,0.2056,34190.3,34222.2,34190.3,34192.0,YFI-USDT,huobi
9,2021-06-19 00:09:00,2021-06-19 00:10:00,0.0828,34155.1,34224.1,34186.3,34194.1,YFI-USDT,huobi
10,2021-06-19 00:10:00,2021-06-19 00:11:00,0.926,34118.3,34190.5,34190.5,34149.9,YFI-USDT,huobi
11,2021-06-19 00:11:00,2021-06-19 00:12:00,1.5492,34140.5,34215.7,34140.5,34215.7,YFI-USDT,huobi
12,2021-06-19 00:12:00,2021-06-19 00:13:00,0.4224,34173.2,34238.9,34206.2,34186.1,YFI-USDT,huobi
13,2021-06-19 00:13:00,2021-06-19 00:14:00,0.1008,34182.8,34228.8,34182.8,34228.8,YFI-USDT,huobi
14,2021-06-19 00:14:00,2021-06-19 00:15:00,0.2108,34201.7,34233.5,34233.5,34201.7,YFI-USDT,huobi
15,2021-06-19 00:15:00,2021-06-19 00:16:00,0.453,34211.8,34241.6,34229.9,34232.1,YFI-USDT,huobi
16,2021-06-19 00:16:00,2021-06-19 00:17:00,0.593,34215.3,34259.6,34215.3,34241.4,YFI-USDT,huobi
17,2021-06-19 00:17:00,2021-06-19 00:18:00,0.3168,34201.8,34239.2,34237.3,34224.5,YFI-USDT,huobi
18,2021-06-19 00:18:00,2021-06-19 00:19:00,0.046,34196.6,34243.5,34203.2,34241.3,YFI-USDT,huobi
19,2021-06-19 00:19:00,2021-06-19 00:20:00,0.2032,34214.8,34240.4,34214.8,34230.4,YFI-USDT,huobi
20,2021-06-19 00:20:00,2021-06-19 00:21:00,0.2324,34206.4,34249.8,34245.2,34227.0,YFI-USDT,huobi
21,2021-06-19 00:21:00,2021-06-19 00:22:00,0.6506,34214.7,34250.5,34214.7,34242.6,YFI-USDT,huobi
22,2021-06-19 00:22:00,2021-06-19 00:23:00,0.5074,34248.1,34282.2,34248.1,34258.5,YFI-USDT,huobi
23,2021-06-19 00:23:00,2021-06-19 00:24:00,0.1992,34243.6,34272.3,34262.4,34255.1,YFI-USDT,huobi
24,2021-06-19 00:24:00,2021-06-19 00:25:00,0.0498,34239.8,34261.4,34239.8,34260.5,YFI-USDT,huobi
25,2021-06-19 00:25:00,2021-06-19 00:26:00,0.131,34261.5,34279.7,34261.5,34279.7,YFI-USDT,huobi
26,2021-06-19 00:26:00,2021-06-19 00:27:00,0.3394,34274.3,34329.8,34288.2,34313.8,YFI-USDT,huobi
27,2021-06-19 00:27:00,2021-06-19 00:28:00,0.0276,34318.1,34326.2,34318.1,34326.2,YFI-USDT,huobi
28,2021-06-19 00:28:00,2021-06-19 00:29:00,0.093,34245.2,34306.3,34305.4,34245.2,YFI-USDT,huobi
29,2021-06-19 00:29:00,2021-06-19 00:30:00,0.0368,34285.2,34315.0,34299.9,34299.8,YFI-USDT,huobi
30,2021-06-19 00:30:00,2021-06-19 00:31:00,0.1072,34278.4,34344.4,34320.3,34281.3,YFI-USDT,huobi
31,2021-06-19 00:31:00,2021-06-19 00:32:00,0.0314,34230.5,34277.0,34277.0,34238.6,YFI-USDT,huobi
32,2021-06-19 00:32:00,2021-06-19 00:33:00,0.587,34202.8,34266.0,34227.7,34249.1,YFI-USDT,huobi
33,2021-06-19 00:33:00,2021-06-19 00:34:00,0.3564,34226.5,34274.6,34234.7,34265.6,YFI-USDT,huobi
34,2021-06-19 00:34:00,2021-06-19 00:35:00,0.2596,34238.3,34268.8,34266.0,34247.1,YFI-USDT,huobi
35,2021-06-19 00:35:00,2021-06-19 00:36:00,0.3154,34204.8,34263.1,34263.1,34204.8,YFI-USDT,huobi
